time,ws10_ms,wd10_deg,ws100_ms,wd100_deg
2000-01-01 00:00:00,8.825767188913263,203.79276283123215,11.028896810297448,205.54682122924189
2000-01-01 01:00:00,9.035566143142228,200.02553596691476,11.43690143476854,202.3339810338694
2000-01-01 02:00:00,8.976331088095492,203.09497833042312,11.645933452039815,205.9463499006958
2000-01-01 03:00:00,9.440853592108569,206.4350517477784,12.329907536589525,209.55007011378737
2000-01-01 04:00:00,9.796613895826182,214.05077612778476,12.887299517560848,216.62182160227212
2000-01-01 05:00:00,9.422397458376988,220.8380015373267,12.478833162542266,223.6800377951439
2000-01-01 06:00:00,9.003276900609098,222.3508411912708,11.948386218498207,225.8281485092789
2000-01-01 07:00:00,8.863504036297742,230.46038947528493,11.900600430515981,233.89173379620763
2000-01-01 08:00:00,7.690035202292254,253.79782740023853,10.454186211576472,259.89973893463804
2000-01-01 09:00:00,8.167407303929,301.3996659391766,11.355933902911351,307.7026836853238
2000-01-01 10:00:00,9.9443162868101,317.8440854672719,13.29551147751457,320.14698864367244
2000-01-01 11:00:00,9.824344521991241,312.77301914964187,13.160946314866154,314.56448130718246
2000-01-01 12:00:00,9.587416144424466,310.4760644302051,12.896030946342918,312.4343486015909
2000-01-01 13:00:00,9.384466758524429,310.2619432491518,12.616403403843751,312.350382795284
2000-01-01 14:00:00,8.885885289307728,308.89424115500157,11.964263324739997,311.2295426681322
2000-01-01 15:00:00,8.493039617054892,306.83782148551785,11.368215165734373,309.3456849948717
2000-01-01 16:00:00,8.122549159143885,303.501058276336,10.870134440444392,306.25599487069604
2000-01-01 17:00:00,8.10046781872281,300.5725846183015,10.832157810526713,302.98768400785303
2000-01-01 18:00:00,7.7951233563263305,299.17947442061416,10.480247898963952,301.39821335029524
2000-01-01 19:00:00,6.954864487221161,293.20652220786695,9.458870498081296,295.92262708957423
2000-01-01 20:00:00,6.235355262116654,278.2737862622328,8.56803421703698,282.28406081750666
2000-01-01 21:00:00,6.271147483225401,262.5387567924705,8.528865720397313,267.5076015258971
2000-01-01 22:00:00,6.755488149550539,250.86061880513037,9.018569324165693,255.18630648810455
2000-01-01 23:00:00,7.643619420390942,248.15284565148494,10.166291560781987,251.2099168245485
2000-01-02 00:00:00,8.26289875348479,246.6728368618101,11.045739970266895,249.56577927658498
2000-01-02 01:00:00,8.355003669933925,242.50084111058666,11.265653488358096,245.88794408036895
2000-01-02 02:00:00,8.442901469966023,239.2916542924062,11.400599639604414,242.9888959757168
2000-01-02 03:00:00,8.713221515162985,232.14526231613192,11.75528232481106,235.97769096595192
2000-01-02 04:00:00,9.437379049354764,227.08346749195707,12.725642220900708,230.22942900468217
2000-01-02 05:00:00,10.056882258496676,231.29165084640965,13.592962127876941,233.7147084638657
2000-01-02 06:00:00,10.72973634985891,229.59060211793812,14.403910671606479,231.98105111654857
2000-01-02 07:00:00,11.144655986479604,236.90483476703437,14.994168972845303,238.43488703413226
2000-01-02 08:00:00,11.0887107397394,240.21554328586478,14.832003431490117,241.87060971285757
2000-01-02 09:00:00,11.350995526080858,243.88519017269766,14.989793457043486,245.43171386940503
2000-01-02 10:00:00,11.500738233389326,252.42904297654383,14.875501710643277,253.41392071556373
2000-01-02 11:00:00,10.89378104363672,255.3773831971057,14.120470301022031,256.5977894752727
2000-01-02 12:00:00,10.575429924163773,257.2690395955364,13.745957781506338,258.69226911157074
2000-01-02 13:00:00,10.129015687678422,256.8593830781715,13.271712094778609,259.0016517602748
2000-01-02 14:00:00,9.812649110966973,258.9781121543758,12.994879595402343,261.91056118725464
2000-01-02 15:00:00,9.15996693626374,259.8855357042391,12.142675558556967,263.92590343499023
2000-01-02 16:00:00,8.822509737679157,260.1999849589276,11.779011432584467,264.8656051522975
2000-01-02 17:00:00,8.410997507364828,261.8484931978585,11.303992498147265,266.77509655152255
2000-01-02 18:00:00,7.832427488218822,263.41264544727784,10.621540073405097,268.5972048791502
2000-01-02 19:00:00,7.1780861540468806,261.0736952687354,9.780693051519675,266.68094251100524
2000-01-02 20:00:00,6.667995668786742,255.58811001625668,9.113574424686405,261.4479816771809
2000-01-02 21:00:00,6.156120634150657,250.28751543645785,8.447523365136494,256.3276702818918
2000-01-02 22:00:00,5.52855292524474,242.7169155150398,7.471113001829815,249.16863247325233
2000-01-02 23:00:00,5.16285751203777,229.06003246759988,6.9465780576064,235.66859753524707
2000-01-03 00:00:00,5.733888130142297,214.72566104574534,7.677870591000342,220.84283734267737
2000-01-03 01:00:00,6.952408989369394,209.28180931544176,9.356377374716926,214.3813953216319
2000-01-03 02:00:00,8.213086663296894,207.42719135291588,11.004757724534507,211.94463562783562
2000-01-03 03:00:00,9.571301873531496,207.86890597788943,12.71793676439211,211.1991712316158
2000-01-03 04:00:00,9.852933910838425,203.58610812901026,13.139146854840085,206.45932363447108
2000-01-03 05:00:00,10.239208623492106,201.95838257058185,13.875228765259758,205.51382826101386
2000-01-03 06:00:00,11.130839063635996,206.79035555007025,15.254432019903962,210.4556536781369
2000-01-03 07:00:00,12.231810947487164,212.771862401579,16.840208303503356,215.6112514916591
2000-01-03 08:00:00,13.14490786439975,222.26027364924764,18.121770523109536,224.52511068258067
2000-01-03 09:00:00,12.922571141481761,229.91175820323053,17.846377057336603,231.99465282799935
2000-01-03 10:00:00,12.913287311452256,237.90823924844113,17.605712397931583,239.83865522380262
2000-01-03 11:00:00,12.357884539497451,245.9585420852136,16.820902257209998,247.9704455082362
2000-01-03 12:00:00,11.48642569956128,254.81501577344125,15.535722659128105,257.0440314941807
