time;ws10_ms;wd10_deg;ws100_ms;wd100_deg;ws3m_ms
1997-01-01 00:00:00;6.092008028956239;50.59054452006836;6.656352946189169;51.09641849750108;5.147038807016129
1997-01-01 01:00:00;5.934526109101976;50.58767158783792;6.477425606771081;50.814040328379804;5.013984886364588
1997-01-01 02:00:00;5.527588948247434;53.86198147272512;6.034473329320426;53.64291735791312;4.6701702772932085
1997-01-01 03:00:00;4.961484615304089;54.75575504637288;5.384830665256267;54.35845084498641;4.191877905282235
1997-01-01 04:00:00;4.626731644635656;50.95616674954459;4.999570958153948;50.4693942138029;3.9090505480947955
1997-01-01 05:00:00;4.1574984864319555;50.304457493671805;4.467188253511397;49.561437541257476;3.512603060938909
1997-01-01 06:00:00;3.3203377061850268;58.360503960643996;3.5535014405207637;56.93613107814349;2.80529949154734
1997-01-01 07:00:00;2.347773856926461;83.39396678431774;2.4418869602963262;81.04929639772416;1.983596064591666
1997-01-01 08:00:00;1.899707550608972;134.33160012591435;1.8552736086926627;132.9763425882308;1.6050321073922165
1997-01-01 09:00:00;2.3336563337071263;183.12736528384139;2.3276610023667366;185.0109127957632;1.971668398127097
1997-01-01 10:00:00;3.5139215274725495;198.4165133586878;3.61579945698699;199.8316701663482;2.968855323358689
1997-01-01 11:00:00;4.860540640629306;208.388743097598;5.080480569492328;209.69893087762296;4.106591977798883
1997-01-01 12:00:00;5.678323130749476;217.08908054080297;5.998966314008988;218.41658978719636;4.797523144064592
1997-01-01 13:00:00;6.190839000308419;224.04712623749805;6.6168571278746935;225.19073305401577;5.2305394922527375
1997-01-01 14:00:00;6.492981524638336;233.9603751211077;7.029243963134823;235.0679945643608;5.485814812078989
1997-01-01 15:00:00;7.012247423700312;242.72646470192103;7.685980257162272;243.8307842216733;5.924534150748349
1997-01-01 16:00:00;7.5400663520453195;249.48553985998302;8.363974958158735;250.76516644796345;6.3704798051789595
1997-01-01 17:00:00;7.774456756523141;249.18624436429457;8.742838501875006;251.2222808082039;6.568512457484287
1997-01-01 18:00:00;7.861660307393638;246.7081481258345;8.947096070812417;248.94058487715714;6.642189323684503
1997-01-01 19:00:00;7.947317319527208;243.38278191093858;9.164227540665054;245.3311715074438;6.714559544381681
1997-01-01 20:00:00;8.059710118134419;238.7049322697029;9.401102680306598;240.29471830139582;6.809518397572748
1997-01-01 21:00:00;8.062232535783593;236.82087231391193;9.58527468701539;238.26625562330815;6.811649547345712
1997-01-01 22:00:00;8.244080633227638;237.70998762099782;10.31731221186377;241.09028037044578;6.9652900563663325
1997-01-01 23:00:00;7.808729785921933;241.6177437508021;9.752509190425434;244.49737521656425;6.597469184315754
1997-01-02 00:00:00;7.692714217174649;240.80734111659658;9.531267662439946;243.50699287548684;6.499449511373427
1997-01-02 01:00:00;7.872864152186522;240.8550772824628;9.667293041448541;243.84017309158287;6.651655270489344
1997-01-02 02:00:00;7.894035612465544;241.50468422472167;9.648652355716383;243.28584890273822;6.6695426940021445
1997-01-02 03:00:00;7.813868730948525;241.19380305441103;9.594033639128604;242.981613457314;6.601810995645166
1997-01-02 04:00:00;7.740749756628558;242.65517674045944;9.486163957649378;244.51375335297533;6.540033959803247
1997-01-02 05:00:00;7.369766985468878;245.09601104946523;8.831595353479479;246.4937684922164;6.226596631615679
1997-01-02 06:00:00;6.479736999902269;247.92542771524245;7.893543974877667;249.36450393075327;5.474624727878018
1997-01-02 07:00:00;5.612378143266046;246.6042856543426;6.851189606010573;248.2130132393818;4.741807293380862
1997-01-02 08:00:00;5.240263504262503;240.26935970358363;6.377018666608739;242.39046833881042;4.427413668404275
1997-01-02 09:00:00;5.451745455314402;231.21998560714698;6.675223727183491;232.9933257506213;4.606091339850828
1997-01-02 10:00:00;5.889206575521595;226.45335144649198;7.400887875423948;229.0980202107208;4.975695147259622
1997-01-02 11:00:00;6.351676951543057;220.7111723087523;7.767217366476028;222.313359693446;5.366428869402408
1997-01-02 12:00:00;6.945408219412624;213.43009053585396;8.07333783618022;214.81687907784814;5.868062790785656
1997-01-02 13:00:00;7.337236875839482;204.5458922676789;8.512725048581146;206.16398129149343;6.199112469437436
1997-01-02 14:00:00;7.770364728626632;198.39833796139723;8.890165937605422;199.86955884789325;6.565055169463225
1997-01-02 15:00:00;8.242281008329181;190.5946167818439;9.237443125857075;191.62192989362327;6.9637695824689905
1997-01-02 16:00:00;8.497845618272356;181.3874020034478;9.41392503977823;182.22934749942667;7.179691977650539
1997-01-02 17:00:00;8.330822420672616;170.81950528689163;9.202559511053659;171.46632125594795;7.038576786135424
1997-01-02 18:00:00;7.817602267805795;160.30587887819183;8.597659201302948;160.8664353901454;6.604965400399797
1997-01-02 19:00:00;7.2188468525415335;148.00654846188894;7.934722129853579;148.45132809413406;6.099086658344983
1997-01-02 20:00:00;7.140096788987467;138.46042845716477;7.898114276400798;138.8054128672427;6.0325520065124225
1997-01-02 21:00:00;7.377126260238775;132.93053147806722;8.193263592550148;133.27697730604984;6.23281436354448
1997-01-02 22:00:00;7.814833589710196;131.5433337722244;8.752150540315313;131.82815995469036;6.60262618916855
1997-01-02 23:00:00;8.078654135569286;130.56254114558334;9.095401813293119;130.88909831015297;6.825523890742585
1997-01-03 00:00:00;8.190668741025256;128.54366887116646;9.283876949069159;128.9899186952469;6.920163214672245
1997-01-03 01:00:00;8.20549441275671;125.87363659340673;9.320065813659873;126.38340830988989;6.932689184332688
1997-01-03 02:00:00;8.192192513769362;121.59858117718397;9.329766016271368;122.20772668517202;6.921450625557081
